species_id	contig	pos
Bacteroides_uniformis_57318	NZ_DS362243	104000
Bacteroides_eggerthii_54457	NZ_GL622539	225016
Bacteroides_eggerthii_54457	NZ_GL622541	415886
Bacteroides_eggerthii_54457	NZ_GL622544	230675
Bacteroides_eggerthii_54457	NZ_GL622547	74133
Bacteroides_eggerthii_54457	NZ_GL622538	644725
Bacteroides_eggerthii_54457	NZ_GL622538	170508
Bacteroides_eggerthii_54457	NZ_GL622540	137151
Bacteroides_eggerthii_54457	NZ_GL622546	111987
Bacteroides_eggerthii_54457	NZ_GL622538	546938
Bacteroides_eggerthii_54457	NZ_GL622538	489738
Butyrivibrio_crossotus_61674	NZ_GG663524	574443
Eubacterium_rectale_56927	FP929042	631515
Eubacterium_rectale_56927	FP929042	252165
Eubacterium_rectale_56927	FP929042	251647
Eubacterium_rectale_56927	FP929042	522870
Eubacterium_rectale_56927	FP929042	457638
Eubacterium_rectale_56927	FP929042	438910
Bacteroides_faecis_58503	AGDG01000015	185515
Bacteroides_faecis_58503	AGDG01000026	125678
Bacteroides_faecis_58503	AGDG01000026	131386
Bacteroides_faecis_58503	AGDG01000020	193750
Bacteroides_faecis_58503	AGDG01000028	134069
Eubacterium_siraeum_57634	NZ_DS499550	71432
Eubacterium_eligens_61678	NC_012778	459989
Eubacterium_eligens_61678	NC_012780	514415
Eubacterium_eligens_61678	NC_012780	514418
Eubacterium_eligens_61678	NC_012780	514424
Eubacterium_eligens_61678	NC_012778	1031635
Eubacterium_eligens_61678	NC_012778	2082002
Eubacterium_eligens_61678	NC_012778	2082008
Eubacterium_eligens_61678	NC_012780	101913
Eubacterium_eligens_61678	NC_012778	358506
Eubacterium_eligens_61678	NC_012778	596439
Eubacterium_eligens_61678	NC_012778	457035
Eubacterium_eligens_61678	NC_012778	458097
Eubacterium_eligens_61678	NC_012778	458103
Eubacterium_eligens_61678	NC_012778	449690
Eubacterium_eligens_61678	NC_012780	324479
Eubacterium_eligens_61678	NC_012780	324467
Eubacterium_eligens_61678	NC_012780	551070
Eubacterium_eligens_61678	NC_012780	549747
Eubacterium_eligens_61678	NC_012780	549750
Eubacterium_eligens_61678	NC_012780	556382
Eubacterium_eligens_61678	NC_012780	556424
Eubacterium_eligens_61678	NC_012778	1037937
Eubacterium_eligens_61678	NC_012778	1912167
Eubacterium_eligens_61678	NC_012778	2074429
Eubacterium_eligens_61678	NC_012778	2076934
Eubacterium_eligens_61678	NC_012778	2076940
Eubacterium_eligens_61678	NC_012778	2076937
Eubacterium_eligens_61678	NC_012778	1916367
Eubacterium_eligens_61678	NC_012778	1615502
Eubacterium_eligens_61678	NC_012778	1615499
Eubacterium_eligens_61678	NC_012778	1375123
Eubacterium_eligens_61678	NC_012778	1375174
Eubacterium_eligens_61678	NC_012778	1375201
Eubacterium_eligens_61678	NC_012778	1375144
Eubacterium_eligens_61678	NC_012778	1140199
Eubacterium_eligens_61678	NC_012778	1140205
Eubacterium_eligens_61678	NC_012778	1140208
Eubacterium_eligens_61678	NC_012778	1140220
Eubacterium_eligens_61678	NC_012778	1140223
Eubacterium_eligens_61678	NC_012778	1144683
Eubacterium_eligens_61678	NC_012778	1142874
Eubacterium_eligens_61678	NC_012778	1149015
Eubacterium_eligens_61678	NC_012778	1148505
Eubacterium_eligens_61678	NC_012778	1146154
Eubacterium_eligens_61678	NC_012778	1146157
Eubacterium_eligens_61678	NC_012780	87315
Eubacterium_eligens_61678	NC_012778	369551
