species_id	contig	pos
Eubacterium_eligens_61678	NC_012778	1818965
Eubacterium_eligens_61678	NC_012778	1817243
Eubacterium_eligens_61678	NC_012780	79675
Parabacteroides_distasonis_56985	ACUD01000002	443916
Parabacteroides_distasonis_56985	ACUD01000002	443979
Phascolarctobacterium_sp_59817	CBDS010000079	34028
Phascolarctobacterium_sp_59817	CBDS010000052	34155
Phascolarctobacterium_sp_59817	CBDS010000075	14252
Parabacteroides_merdae_56972	NZ_DS264527	340499
Parabacteroides_merdae_56972	NZ_DS264527	340437
Parabacteroides_merdae_56972	NZ_DS264527	344522
Parabacteroides_merdae_56972	NZ_DS264542	136419
Parabacteroides_merdae_56972	NZ_DS264475	212260
Parabacteroides_merdae_56972	NZ_DS264475	212500
Parabacteroides_merdae_56972	NZ_DS264461	236745
Parabacteroides_merdae_56972	NZ_DS264524	37915
Parabacteroides_merdae_56972	NZ_DS264524	33798
Parabacteroides_merdae_56972	NZ_DS264524	33810
Parabacteroides_merdae_56972	NZ_DS264524	41154
Parabacteroides_merdae_56972	NZ_DS264524	40847
Parabacteroides_merdae_56972	NZ_DS264524	40987
Parabacteroides_merdae_56972	NZ_DS264542	42486
Parabacteroides_merdae_56972	NZ_DS264542	42483
Parabacteroides_merdae_56972	NZ_DS264542	42492
Parabacteroides_merdae_56972	NZ_DS264542	35550
Parabacteroides_merdae_56972	NZ_DS264542	35556
Parabacteroides_merdae_56972	NZ_DS264542	35559
Parabacteroides_merdae_56972	NZ_DS264542	35554
Parabacteroides_merdae_56972	NZ_DS264527	200251
Parabacteroides_merdae_56972	NZ_DS264461	178710
Parabacteroides_merdae_56972	NZ_DS264461	178102
Parabacteroides_merdae_56972	NZ_DS264461	176336
Parabacteroides_merdae_56972	NZ_DS264475	112962
Parabacteroides_merdae_56972	NZ_DS264540	119756
Parabacteroides_merdae_56972	NZ_DS264475	207908
Parabacteroides_merdae_56972	NZ_DS264475	107473
Parabacteroides_merdae_56972	NZ_DS264546	373913
Parabacteroides_merdae_56972	NZ_DS264476	44988
Parabacteroides_merdae_56972	NZ_DS264494	63820
Parabacteroides_merdae_56972	NZ_DS264494	63823
Parabacteroides_merdae_56972	NZ_DS264494	63850
Parabacteroides_merdae_56972	NZ_DS264540	509992
Parabacteroides_merdae_56972	NZ_DS264546	92254
Parabacteroides_merdae_56972	NZ_DS264527	234407
Parabacteroides_merdae_56972	NZ_DS264475	98088
Parabacteroides_merdae_56972	NZ_DS264541	1693
Parabacteroides_merdae_56972	NZ_DS264541	10673
Parabacteroides_merdae_56972	NZ_DS264461	126493
Parabacteroides_merdae_56972	NZ_DS264461	126465
Parabacteroides_merdae_56972	NZ_DS264542	175449
Parabacteroides_merdae_56972	NZ_DS264542	175453
